Time, xr, yr, zr, q0r, q1r, q2r, q3r, xn, yn, zn, q0n, q1n, q2n, q3n
10.464, 0.808306, -0.276319, 0.579481, -0.00173917, 0.000376164, 0.999998, 0.000195777, 0.809271, -0.276465, 0.579464, 8.61889e-06, -1.20483e-07, 1, -1.66262e-06, 
10.564, 0.80308, -0.276289, 0.579428, -0.00183644, 0.000229803, 0.999998, 0.000211461, 0.804097, -0.276434, 0.579464, 1.01605e-05, -1.42343e-07, 1, -1.98993e-06, 
10.664, 0.797695, -0.275935, 0.579486, -0.00176808, 0.000141403, 0.999998, 0.000203235, 0.79871, -0.276008, 0.579464, 1.16697e-05, -1.63404e-07, 1, -2.33003e-06, 
10.764, 0.792082, -0.275297, 0.579463, -0.0017925, 0.000131471, 0.999998, 0.000210758, 0.79313, -0.275189, 0.579464, 1.31412e-05, -1.84091e-07, 1, -2.67946e-06, 
10.864, 0.786337, -0.274281, 0.57947, -0.00176675, 7.89084e-05, 0.999998, 0.000204761, 0.78738, -0.273981, 0.579464, 1.45699e-05, -2.04111e-07, 1, -3.03437e-06, 
10.964, 0.780249, -0.273145, 0.579458, -0.00173912, 4.79248e-05, 0.999998, 0.000199765, 0.781482, -0.272388, 0.579464, 1.59509e-05, -2.23455e-07, 1, -3.39065e-06, 
11.064, 0.774199, -0.271265, 0.579436, -0.00173541, -0.000689522, 0.999998, 0.000199999, 0.775459, -0.270417, 0.579464, 1.72797e-05, -2.42058e-07, 1, -3.74397e-06, 
11.164, 0.768136, -0.269004, 0.579498, -0.00162161, -0.00131404, 0.999998, 0.000178627, 0.769336, -0.268075, 0.579464, 1.85518e-05, -2.59704e-07, 1, -4.08984e-06, 
11.264, 0.761999, -0.266162, 0.579446, -0.00166442, -0.00209192, 0.999996, 0.000180335, 0.763136, -0.265371, 0.579464, 1.97631e-05, -2.76426e-07, 1, -4.42364e-06, 
11.364, 0.755845, -0.263028, 0.57948, -0.00158803, -0.0027957, 0.999995, 0.000162615, 0.756883, -0.262317, 0.579464, 2.09095e-05, -2.92334e-07, 1, -4.74082e-06, 
11.464, 0.749489, -0.259576, 0.579501, -0.00155225, -0.00331148, 0.999993, 0.000149387, 0.750604, -0.258924, 0.579464, 2.1987e-05, -3.07195e-07, 1, -5.0368e-06, 
11.564, 0.743193, -0.255712, 0.579488, -0.00153337, -0.00379514, 0.999992, 0.000140459, 0.744321, -0.255206, 0.579464, 2.2992e-05, -3.21197e-07, 1, -5.30715e-06, 
11.664, 0.736921, -0.251657, 0.579475, -0.0015206, -0.00419555, 0.99999, 0.00012995, 0.738061, -0.251178, 0.579464, 2.39204e-05, -3.34032e-07, 1, -5.54759e-06, 
11.764, 0.730786, -0.247359, 0.57952, -0.00139672, -0.00446945, 0.999989, 9.76463e-05, 0.731847, -0.246854, 0.579464, 2.47687e-05, -3.4571e-07, 1, -5.75409e-06, 
11.864, 0.724498, -0.243002, 0.579481, -0.00141337, -0.00463167, 0.999988, 8.86846e-05, 0.725705, -0.242253, 0.579464, 2.55329e-05, -3.56423e-07, 1, -5.92294e-06, 
11.964, 0.71859, -0.238091, 0.579545, -0.00125609, -0.00489151, 0.999987, 5.66739e-05, 0.719658, -0.237393, 0.579464, 2.62092e-05, -3.65914e-07, 1, -6.05078e-06, 
12.064, 0.712688, -0.233097, 0.5795, -0.00128475, -0.00499782, 0.999987, 4.85491e-05, 0.713731, -0.232292, 0.579464, 2.67936e-05, -3.7409e-07, 1, -6.13472e-06, 
12.164, 0.707063, -0.22776, 0.57953, -0.00115144, -0.00508985, 0.999986, 2.12547e-05, 0.707946, -0.226971, 0.579464, 2.7282e-05, -3.81074e-07, 1, -6.17238e-06, 
12.264, 0.701412, -0.22224, 0.579529, -0.00116011, -0.00509868, 0.999986, 9.9229e-06, 0.702327, -0.221451, 0.579464, 2.76701e-05, -3.86821e-07, 1, -6.162e-06, 
12.364, 0.696059, -0.216493, 0.579499, -0.00114225, -0.00523727, 0.999986, -3.29682e-06, 0.696896, -0.215753, 0.579464, 2.79538e-05, -3.91173e-07, 1, -6.10251e-06, 
12.464, 0.690937, -0.210496, 0.579491, -0.0011402, -0.00525308, 0.999986, -1.70487e-05, 0.691674, -0.2099, 0.579464, 2.81285e-05, -3.94177e-07, 1, -5.99367e-06, 
12.564, 0.685982, -0.204455, 0.579487, -0.00110917, -0.00529406, 0.999985, -3.55265e-05, 0.686682, -0.203916, 0.579464, 2.819e-05, -3.95688e-07, 1, -5.83604e-06, 
12.664, 0.68132, -0.198381, 0.579515, -0.00102519, -0.00520762, 0.999986, -5.62674e-05, 0.68194, -0.197823, 0.579464, 2.81338e-05, -3.95618e-07, 1, -5.63118e-06, 
12.764, 0.676903, -0.192171, 0.579483, -0.000984023, -0.00519098, 0.999986, -7.10343e-05, 0.677466, -0.191647, 0.579464, 2.79559e-05, -3.94036e-07, 1, -5.38162e-06, 
12.864, 0.672704, -0.185912, 0.57948, -0.000985708, -0.00514253, 0.999986, -8.64185e-05, 0.673278, -0.18541, 0.579464, 2.76524e-05, -3.90854e-07, 1, -5.09096e-06, 
12.964, 0.668932, -0.179649, 0.579513, -0.000874357, -0.00504139, 0.999987, -0.000102789, 0.669392, -0.179139, 0.579464, 2.72199e-05, -3.85959e-07, 1, -4.76385e-06, 
13.064, 0.665959, -0.175714, 0.579454, -0.000830379, -0.00531596, 0.999986, -7.69065e-05, 0.665885, -0.176359, 0.579464, 2.58746e-05, -3.60873e-07, 1, -4.28429e-06, 
13.164, 0.662746, -0.176334, 0.57945, -0.000824431, -0.00456482, 0.999989, -8.20305e-05, 0.662986, -0.176385, 0.579464, 2.31309e-05, -3.22017e-07, 1, -3.71379e-06, 
13.264, 0.66025, -0.176245, 0.579444, -0.000777083, -0.00437759, 0.99999, -8.0133e-05, 0.660612, -0.176406, 0.579464, 2.04176e-05, -2.84832e-07, 1, -3.20443e-06, 
13.364, 0.658288, -0.176212, 0.579399, -0.000787933, -0.00422036, 0.999991, -7.90927e-05, 0.65867, -0.176423, 0.579464, 1.78868e-05, -2.50122e-07, 1, -2.75551e-06, 
13.464, 0.656828, -0.176062, 0.579393, -0.000770124, -0.00411074, 0.999991, -8.06533e-05, 0.657081, -0.176437, 0.579464, 1.55621e-05, -2.1824e-07, 1, -2.36089e-06, 
13.564, 0.655655, -0.175977, 0.579442, -0.000693034, -0.00398177, 0.999992, -7.72718e-05, 0.65578, -0.176448, 0.579464, 1.3447e-05, -1.88854e-07, 1, -2.01455e-06, 
13.664, 0.654609, -0.176115, 0.579453, -0.000669967, -0.00348958, 0.999994, -7.58981e-05, 0.654715, -0.176458, 0.579464, 1.15356e-05, -1.61868e-07, 1, -1.7108e-06, 
13.764, 0.653744, -0.176248, 0.579458, -0.000653957, -0.00291, 0.999996, -7.46516e-05, 0.653844, -0.176465, 0.579464, 9.81647e-06, -1.38087e-07, 1, -1.44439e-06, 
